"","x"
"1","BONDY HABITAT"
"2","Secteur Terre-Saint Blaise/Noue Caillet"
"3","Léon Blum"
"4","Versailles"
"5","Jean Lebas"
"6","Germaine Tillion"
"7","Suzanne Buisson"
"8","Moulin"
"9","Secteur Centre Ville/Gare"
"10","Lamartine"
"11","Guesde"
"12","Le Potager"
"13","Albert Thomas"
"14","Furci"
"15","Egalité"
"16","Secteur La Mare a la Veuve"
"17","Salengro"
"18","Bobillot"
"19","Secteur Fosse de la Regale Secteur La Mare a la Veuve"
"20","Résidence du Levant"
"21","Moleret"
"22","Secteur de Lattre de Tassigny"
"23","Résidence de ’Ourcq"
"24","De Lattre"
"25","Cité des Fleurs et du stade"
"26","Polissard"
"27","Secteur Blanqui"
"28","Carnot"
"29","Apollinaire"
"30","Blanqui"
"31","Eluard"
"32","Beauvoir"
"33","Simone de Beauvoir"
"34","Blanqui bis"
"35","Dunant"
"36","Martin Luther King"
"37","- Répertoire du parc HLM - Aofit - Etude Patrimoniale"
"38",""
"39","Secteur Fosse de la Regale"
"40","Lyssandre"
"41","Neuburger"
"42","3F IMMOBILIER"
"43","Secteur Noue Caillet/Terre Saint Blaise"
"44","Terre saint Blaise"
"45","Varagnat"
"46","Secteur Merisiers/14 Juillet"
"47","Baudelaire/Villon"
"48","14 Juillet"
"49","Fontaine"
"50","Secteur Centre Ville/Gare"
"51","Guesde"
"52","Liberté"
"53","Secteur la Remise a Jorelle j"
"54","La Bondynoise j"
"55","‘ Edouard Vaillant"
"56","Secteur Blanqui"
"57","Henri Barbusse"
"58","Henri Barbusse"
"59","Gaston Deferre"
"60","Secteur Fosse de la Régale/Lyssandre"
"61","49"
"62","Cos Résiduel"
"63","ICF LA SABLIERE"
"64","Secteur Centre ville/Gare"
"65","Polissard"
"66","Secteur Fosse de la Régale/Lyssandre"
"67","Blanqui"
"68","Secteur la Remise a Jorelle"
"69","Villemomble"
"70","OFFICE PUBLIQUE DEPARTEMENTALE DE SEINE SAINT DENIS"
"71","Secteur Noue Caillet/Terre Saint Blaise"
"72","Raymond Aubrac"
"73","Noue Caillet"
"74","Répertoire du parc HLM - Aoiit - Etude Patrimoniale"
"75",""
"76","ANTIN RESIDENCE"
"77","Secteur Centre ville/Gare"
"78","Guesde"
"79","Salengro"
"80","Secteur la Remise a Jorelle -"
"81","Résidence Gabrielle"
"82","IRP"
"83","Secteur Merisiers/14 Juillet"
"84","La Résidence Maurice Benhamou - Varagnat"
"85","BATIGERE"
"86","Secteur Centre ville/Gare"
"87","Jean Jaurés"
"88","République"
"89","OSICA"
"90","Secteur Centre ville/Gare"
"91","Résidence du Breuil"
"92","LOGIS TRANSPORTS"
"93","Secteur Merisiers/14 Juillet"
"94","\ La Résidence Maurice Benhamou"
"95","ESPACE HABITAT"
"96","Secteur La Mare a la Veuve"
"97","Résidence l’Europe"
"98","SOFILOGIS"
"99","Secteur Centre ville/Gare"
"100","Guesde"
"101","Secteur Fosse de la Regale"
"102","Résidence Rendez-Vous"
"103","Répertoire du parc HLM - Aout - Etude Patrimoniale"
"104",""
"105","EFIDIS "
"106","Secteur De Lattre de Tassigny"
"107","Résidence des Cerises"
"108","FRANCE HABITATION"
"109","Secteur la Remise a Jorelle"
"110","Résidence des arts"
