"","x"
"1","193 AVENUE"
"2","26"
"3","77 SALENGRO"
"4","A G BONDY"
"5","ALPY 316"
"6","ANAYJA"
"7","ANNIL KUTTY"
"8","APAJH BONDY"
"9","APF FRANCE HANDICAP"
"10","ASS IMMOBILIERE ASSOMPTION"
"11","ASS LOCALE POUR LE CULTE DES TEMOINS DE JEHOVAH DE BONDY"
"12","ASSERAM"
"13","ATTHE ILLAM"
"14","BAYET"
"15","BIONNASSAY"
"16","BONDY COEUR DE VILLE"
"17","BONDY TERRASSES DU CANAL"
"18","BOUYGUES IMMOBILIER"
"19","BPCE LEASE IMMO"
"20","CAPA CLEMA"
"21","CERTAS ENERGY FRANCE"
"22","CLARM"
"23","CLINIQUES CHIRURGICALES"
"24","CONFORAMA DEVELOPPEMENT 12"
"25","CONFORAMA FRANCE"
"26","CRISTAL RENTE"
"27","D F L P"
"28","DAUMESNIL INVEST"
"29","ETABLISSEMENTS DARTY ET FILS"
"30","FONCIERE RU 01 2014"
"31","GAGOU A"
"32","GENE-ENTREPRISE"
"33","GUERIN GARREAU"
"34","GUILBERT PROPRETE"
"35","IMMO BILLY"
"36","IMMO EVOLUTIF"
"37","JCI"
"38","JULIA"
"39","K I F 20-26 MARS"
"40","LA PARISIENNE"
"41","LE SOLEIL DE BONDY"
"42","LESTANE"
"43","LISEHO"
"44","MARABU FRANCE S A R L"
"45","MS"
"46","MS INVEST IMMO"
"47","MUTUELLE ASSURANCE INSTITUTEUR FRANCE"
"48","NATIOCREDIBAIL"
"49","OPERA IMMO-INVEST"
"50","ORLA"
"51","OSCAR"
"52","OVI"
"53","PROMO BRICO"
"54","RAYVOUD SA"
"55","RUCHO ET CIE"
"56","SAS 1 RUE DE LA LIBERTE"
"57","SDB EDOUARD VAILLANT"
"58","SEMICOB"
"59","SEQUANO AMENAGEMENT"
"60","SEQUANO RESIDENTIEL"
"61","SNC LNC ALEPH PROMOTION"
"62","SYLHET VILLA"
"63","SYNDICAT MIXTE POUR LA PRODUCTION ET LA DISTRIBUTION DE CHAL"
"64","TAPIS SAINT MACLOU"
"65","TARA"
"66","VERSAILLES 1"
"67","YILMAZ"
